Codigo,Nombre,DRE,Sis Hidro,CUENCA,RIO,DPTO,PROV,DISTRITO,LONG,LAT,ALT,INICIO,ENT,Q
230712,HUALLPOCA _ ZURCUNA,5,RIO UCAYALI,GRANDE,EL INGENIO,ICA,NAZCA,INGENIO,74.95611111,14.63333333,700,1994,1SENAMHI,NIV
203704,HUAMANI,5,PACIFICO,ICA,ICA,ICA,ICA,SN JOSE MOLINOS,75.58333333,13.83333333,800,1993,1SENAMHI,NIV
230711,HUANCASANCOS _ PUENTE MARITA,5,RIO UCAYALI,PAMPAS,HUANCASANCOS,AYACUCHO,HUANCASANCOS,SANCOS,74.33333333,13.95,3380,1993,1SENAMHI,NIV
230705,HUASAPAMPA,5,RIO UCAYALI,PAMPAS,SONDONDO,AYACUCHO,LUCANAS,AUCARA,73.95,14.26666667,2900,1963,1SENAMHI,AFO
203602,LETRAYOC,5,PACIFICO,PISCO,PISCO,ICA,PISCO,HUANCANO,75.71666667,13.65,720,1972,1SENAMHI,NIV
203820,LLAUTA,5,PACIFICO,GRANDE,PALPA,AYACUCHO,LUCANAS,LLAUTA,74.91666667,14.23333333,2555,2003,1SENAMHI,NIV
203708,LOS MOLINOS,5,PACIFICO,ICA,ICA,ICA,ICA,LOS MOLINOS,75.66666667,13.92083333,460,2000,1SENAMHI,NIV
204711,CHARCANI,6,PACIFICO,QUILCA,CHILI,AREQUIPA,AREQUIPA,CERRO COLORADO,71.61666667,16.28333333,2619,1964,1SENAMHI,AFO
204508,CUYAU,6,PACIFICO,OCONA,COTAHUASI,AREQUIPA,CASTILLA,ORCOPAMPA,72.93333333,15.2,2320,1995,1SENAMHI,NIV
204622,HACIENDA PAMPATA,6,PACIFICO,CAMANA,CAMANA,AREQUIPA,CAMANA,NICOLAS DE PIEROLA,72.69916667,16.55583333,50,1994,1SENAMHI,AFO
204618,HUATIAPA,6,PACIFICO,CAMANA,MAJES,AREQUIPA,CASTILLA,APLAO,72.47027778,15.99472222,699,1964,1SENAMHI,AFO
230501,LA ANGOSTURA,6,RIO UCAYALI,APURIMAC,APURIMAC,AREQUIPA,CAYLLOMA,CAYLLOMA,71.63333333,15.16666667,4120,1966,1SENAMHI,NIV
204905,LA PASCANA,6,PACIFICO,TAMBO,TAMBO,AREQUIPA,ISLAY,COCACHACRA,71.63583333,16.98722222,281,1994,1SENAMHI,AFO
204604,PUENTE COLGANTE_SIBAYO,6,PACIFICO,CAMANA,COLCA,AREQUIPA,CAYLLOMA,SIBAYO,71.46319444,15.49391667,3880,1965,1SENAMHI,NIV
204708,PUENTE DEL DIABLO,6,PACIFICO,QUILCA,CHILI,AREQUIPA,AREQUIPA,SABANDIA,71.49466667,16.40477778,2360,1967,1SENAMHI,AFO
204504,PUENTE OCONA,6,PACIFICO,OCONA,OCONA,AREQUIPA,CAMANA,OCONA,73.115,16.42138889,23,1994,1SENAMHI,AFO
